source	target	weight	confidence
SP1	CYP11A1	1.0	A
MAZ	MYC	1.0	A
POU1F1	GH1	1.0	A
CREB1	EGR1	1.0	A
EGR1	ABCB1	1.0	A
WT1	ABCB1	1.0	A
YY1	CETP	1.0	A
SREBF1	CETP	1.0	A
SREBF1	SCD5	1.0	A
STAT1	CD40	1.0	A
NR1I2	CYP3A4	1.0	A
HNF1A	CYP7A1	1.0	A
JUNB	CLU	1.0	A
STAT1	IFNA1	1.0	A
WT1	BCL2	1.0	A
FOS	CLU	-1.0	A
FOSL1	CLU	1.0	A
CREB1	TH	1.0	A
ESR2	OXT	1.0	A
SP1	ABCB1	1.0	A
HIF1A	VEGFA	1.0	A
JUN	SPI1	1.0	A
SMAD4	CDKN1A	1.0	A
ESR1	C3	1.0	A
EGR1	TNF	1.0	A
SP1	FN1	1.0	A
PPARG	FABP4	1.0	A
STAT5A	BCL2L1	1.0	A
SP1	LEP	1.0	A
STAT5A	OSM	1.0	A
EGR1	MMP14	1.0	A
PPARG	CD36	1.0	A
STAT1	PTGS2	1.0	A
CEBPB	IL6	-1.0	A
PAX5	CD79A	1.0	A
ETS1	PARP1	1.0	A
POU2F1	HLA-DRA	-1.0	A
ETS1	MGAT5	1.0	A
STAT1	HSP90AA1	-1.0	A
HSF1	HSPA4	1.0	A
CEBPB	HP	1.0	A
HIF1A	TFRC	1.0	A
MYC	HSPA4	1.0	A
SP1	PSEN1	1.0	A
NR0B1	NR5A1	-1.0	A
NR5A1	NR0B1	1.0	A
SP1	SLC25A5	1.0	A
ESR1	E2F1	1.0	A
SP1	E2F1	1.0	A
TFAP2A	CYP11A1	1.0	A
SP1	SPI1	1.0	A
SP1	PLAT	1.0	A
SP3	PLAT	1.0	A
SPI1	IL1B	1.0	A
PGR	IGFBP1	1.0	A
PAX5	BLK	1.0	A
SREBF2	LDLR	1.0	A
NR5A1	CYP11A1	1.0	A
CEBPB	CXCL8	1.0	A
HNF1A	UGT1A1	1.0	A
NFKB1	CCND1	1.0	A
RELA	CCND1	1.0	A
CEBPB	IL1B	1.0	A
RELA	PLAU	1.0	A
REL	CCL2	1.0	A
RELA	CCL2	1.0	A
TP53	MDM4	1.0	A
WT1	MYCN	-1.0	A
CREB1	JUN	-1.0	A
SP1	HMGA2	1.0	A
SP3	HMGA2	1.0	A
RELA	CXCL8	1.0	A
PAX3	MITF	1.0	A
RELA	TNF	1.0	A
NFKB1	TNF	1.0	A
NFIC	CYP1A1	-1.0	A
E2F1	RB1	1.0	A
SP1	LHCGR	1.0	A
ESRRA	CYP19A1	1.0	A
USF1	PKLR	1.0	A
STAT3	JUNB	1.0	A
SP1	CCND1	1.0	A
ESR1	TFAP2C	1.0	A
TFAP2C	ESR1	1.0	A
PAX8	TG	1.0	A
WT1	IGF1R	-1.0	A
ESR1	CCND1	1.0	A
SP1	ITGAV	1.0	A
SP3	ITGAV	1.0	A
E2F1	CCNE1	1.0	A
E2F1	CCND1	1.0	A
YY1	TP53	1.0	A
IRF1	CIITA	1.0	A
SP1	MMP2	1.0	A
SP3	MMP2	1.0	A
TFAP2A	MMP2	1.0	A
ETV4	MMP2	1.0	A
ATF2	CDKN1A	1.0	A
MYC	CCND2	1.0	A
EGR1	FAS	-1.0	A
FLI1	TGFBR2	1.0	A
SP1	BAX	1.0	A
ETS2	TP53	1.0	A
ETS1	TP53	1.0	A
EGR1	NAB2	1.0	A
TP53	CDK1	-1.0	A
NR1H4	FABP6	1.0	A
TP53	CDKN1B	1.0	A
TP53	MAP4	-1.0	A
PPARA	UCP1	1.0	A
PPARG	UCP1	1.0	A
MEF2C	JUN	1.0	A
TFAP2A	CDH1	1.0	A
STAT6	IRF1	1.0	A
STAT1	IRF1	1.0	A
EPAS1	VEGFA	1.0	A
ATF1	IL10	1.0	A
CEBPB	FOS	1.0	A
CREB1	IL10	1.0	A
RELA	IL6	1.0	A
SPI1	ITGB2	1.0	A
HNF1A	ALB	1.0	A
USF1	CCNB1	1.0	A
AR	MYC	1.0	A
SP1	F3	1.0	A
NFKB1	ICAM1	1.0	A
NFKB1	VCAM1	1.0	A
RELA	ICAM1	1.0	A
RELA	VCAM1	1.0	A
TP53	ING1	1.0	A
ETS1	FLT1	1.0	A
CEBPE	LTF	1.0	A
IRF2	CIITA	1.0	A
USF1	BRCA2	1.0	A
ELF1	BRCA2	1.0	A
USF2	BRCA2	1.0	A
SP1	TNF	1.0	A
SMAD3	SMAD7	1.0	A
SMAD4	SMAD7	1.0	A
FOSL1	ELN	-1.0	A
JUN	ELN	-1.0	A
HIF1A	CDKN1A	1.0	A
TFAP2A	MPG	1.0	A
ATF6	HSPA5	1.0	A
ATF1	TGFB2	1.0	A
MYC	CAD	1.0	A
IRF8	NCF2	1.0	A
EGR1	TP73	1.0	A
ERG	ICAM2	1.0	A
SP1	NOS3	1.0	A
CTCF	APP	1.0	A
NFKB1	BCL2L1	1.0	A
RELA	BCL2L1	1.0	A
SREBF1	FASN	1.0	A
CREM	IL2	1.0	A
MITF	TYR	1.0	A
HIF1A	SERPINE1	1.0	A
MYB	CCNA1	1.0	A
E2F1	CDKN2A	1.0	A
E2F1	CCNA2	1.0	A
TP53	TNFRSF10B	1.0	A
TP53	BRCA1	-1.0	A
WT1	TERT	-1.0	A
MYC	HMOX1	1.0	A
SMAD3	CDKN1A	1.0	A
FOS	IL2	1.0	A
AR	CDKN1A	1.0	A
TP53	TP63	-1.0	A
EGR1	IGF2	1.0	A
WT1	IGF2	-1.0	A
MYC	NCL	1.0	A
ETS1	PTHLH	1.0	A
SP1	FMR1	1.0	A
TFAP2A	FMR1	1.0	A
TP53	TGFB1	1.0	A
TP53	GDF15	1.0	A
SP1	SRC	1.0	A
SMAD1	SPP1	1.0	A
CTCF	MYC	-1.0	A
HNF4A	CYP7A1	-1.0	A
RARA	RARB	1.0	A
CEBPB	PTGS2	1.0	A
PPARA	LPL	1.0	A
NEUROD1	INS	1.0	A
REST	GRIN1	-1.0	A
SP1	CCL2	1.0	A
TFAP2A	ERBB2	1.0	A
CEBPB	PRL	1.0	A
RELA	FN1	1.0	A
NFKB1	FN1	1.0	A
PGR	MYC	-1.0	A
STAT1	CIITA	1.0	A
ETS1	PRL	1.0	A
FOXA2	PDX1	1.0	A
JUN	CD44	1.0	A
SNAI1	CDH1	-1.0	A
SP1	IL10	1.0	A
STAT6	ALOX15	1.0	A
JUN	PTGS2	1.0	A
EGR1	FLT1	1.0	A
SP1	SOD2	1.0	A
SP1	CETP	-1.0	A
HNF4A	GH1	-1.0	A
CDX2	LCT	1.0	A
SPI1	PRTN3	1.0	A
NR5A1	AMH	1.0	A
VDR	BGLAP	1.0	A
HIF1A	NOS2	1.0	A
TP53	CAV1	1.0	A
FOS	MMP1	1.0	A
SP1	PLAUR	1.0	A
E2F1	SERPINE1	-1.0	A
TP53	SERPINB5	1.0	A
MYB	BCL2	1.0	A
NR5A1	POU5F1	1.0	A
EGR1	CHRNA7	1.0	A
PAX8	TPO	1.0	A
ETS1	CTSB	1.0	A
SP3	CTSB	1.0	A
IRF1	IFNB1	1.0	A
ARNT	VEGFA	1.0	A
STAT4	MYC	1.0	A
MYC	IL2	1.0	A
KLF12	TFAP2A	-1.0	A
CEBPA	DEFA3	1.0	A
REL	ICAM1	1.0	A
SMAD3	TGFB1	1.0	A
GATA2	NOS3	1.0	A
PRDM1	MYC	-1.0	A
YY1	MYC	-1.0	A
IRF1	CCL5	1.0	A
SP1	RELA	1.0	A
SP1	IGF1R	1.0	A
POU2F1	HBG1	-1.0	A
SP3	ITGAD	1.0	A
SP1	ITGAD	1.0	A
TP53	PERP	1.0	A
MYC	FASLG	1.0	A
SPI1	TLR4	1.0	A
STAT3	GFAP	1.0	A
ESR1	LTF	1.0	A
WT1	AMH	1.0	A
LEF1	MITF	1.0	A
STAT3	VEGFA	1.0	A
PPARA	CYP7A1	-1.0	A
TP53	ABCB1	-1.0	A
HNF1A	SLC2A2	1.0	A
TP53	BDKRB2	1.0	A
CEBPA	IL6	1.0	A
KLF4	CDKN1A	1.0	A
ESR1	IGF1	1.0	A
CREB1	BCL2	1.0	A
WT1	CDH1	-1.0	A
CEBPB	TNF	1.0	A
EGR2	FASLG	-1.0	A
TFDP1	CCNE1	1.0	A
NEUROG3	NEUROD1	1.0	A
TBX21	IFNG	1.0	A
IRF1	PSMB9	1.0	A
STAT1	PSMB9	1.0	A
HNF1A	G6PC1	1.0	A
SP1	TGFBR2	1.0	A
FOXA2	HHEX	1.0	A
NR5A1	MC2R	1.0	A
SP1	COL1A2	1.0	A
STAT1	CD86	1.0	A
SP1	AR	1.0	A
GABPA	BRCA1	1.0	A
ELF3	SPRR2A	1.0	A
TP53	DKK1	1.0	A
HIF1A	CP	1.0	A
PPARA	ACSL1	1.0	A
SP1	VIM	1.0	A
TP53	TERT	-1.0	A
SP1	TERT	1.0	A
HNF1A	UGT2B7	1.0	A
POU2F1	UGT2B7	1.0	A
JUN	MMP13	1.0	A
JUND	MMP13	1.0	A
EGR1	FN1	1.0	A
EGR1	SERPINE1	1.0	A
EGR1	TGFB1	1.0	A
FOXO4	CDKN1B	1.0	A
HNF4A	PKLR	1.0	A
TP53	ABCC1	1.0	A
SP1	TNFRSF8	1.0	A
CEBPD	TNF	1.0	A
SREBF1	ACLY	1.0	A
SREBF2	ACLY	1.0	A
JUN	EGFR	1.0	A
JUNB	EGFR	1.0	A
ESR2	TERT	1.0	A
STAT3	SOCS1	1.0	A
SP1	VEGFA	1.0	A
SP3	VEGFA	1.0	A
STAT1	MMP9	-1.0	A
JUN	CXCL8	1.0	A
STAT1	FCGR1A	1.0	A
IRF1	SOCS1	1.0	A
STAT1	SOCS1	1.0	A
SPI1	CD40	1.0	A
SPIB	CD40	1.0	A
SP1	PTGS2	1.0	A
TP53	CD82	1.0	A
STAT1	ICAM1	1.0	A
ESR1	PRL	1.0	A
SP1	EGFR	-1.0	A
RELA	SERPINE1	1.0	A
CEBPD	PTGS2	1.0	A
EGR1	TH	1.0	A
SMAD4	TGFB1	1.0	A
SP1	LTF	1.0	A
SP1	VDR	1.0	A
HIF1A	ADM	1.0	A
STAT1	NOS2	1.0	A
BMAL1	PER1	1.0	A
CLOCK	PER1	1.0	A
BMAL1	DBP	1.0	A
ATF2	IFNB1	1.0	A
IRF3	IFNB1	-1.0	A
JUN	IFNB1	1.0	A
ETS1	CSNK2A1	1.0	A
SP1	CSNK2A1	1.0	A
TP53	MAPK8	1.0	A
JUNB	CDKN2A	1.0	A
NR1H3	ABCA1	1.0	A
TFAP2A	HGF	-1.0	A
SPI1	SERPINB1	1.0	A
CEBPA	PPARG	1.0	A
ESR1	VEGFA	1.0	A
SPI1	MMP2	-1.0	A
MYC	THBS1	-1.0	A
MZF1	TERT	-1.0	A
SP1	UTRN	1.0	A
PAX3	BCL2L1	1.0	A
HOXA5	PGR	1.0	A
ESR1	EGF	1.0	A
STAT3	CRP	1.0	A
CEBPB	CRP	1.0	A
SP1	SERPINE1	1.0	A
CDX2	GUCY2C	1.0	A
FOS	CDKN1A	-1.0	A
PAX4	INS	-1.0	A
TP53	CASP3	1.0	A
SP1	PGR	1.0	A
ESR1	PGR	1.0	A
PGR	ESR1	1.0	A
STAT3	IL10	1.0	A
ATF2	INS	1.0	A
CREB1	INS	1.0	A
TP53	VEGFA	-1.0	A
MYC	GADD45A	-1.0	A
ELK1	TNF	1.0	A
FOSL1	MMP1	1.0	A
JUN	MMP1	1.0	A
E2F1	TYMS	1.0	A
E2F1	MDM2	-1.0	A
JUN	SPRR1B	1.0	A
JUN	CCL2	1.0	A
SP1	STAR	1.0	A
NFKB1	CSF1	1.0	A
HIF1A	BNIP3	1.0	A
SOX10	MPZ	1.0	A
IRF7	IFNA1	1.0	A
FOS	MMP9	1.0	A
ESR1	PTMA	-1.0	A
SOX10	MITF	1.0	A
JUN	IL24	1.0	A
ETS1	PSEN1	1.0	A
ZEB1	CDH1	-1.0	A
SP1	MYBL1	1.0	A
FOXO1	G6PC1	1.0	A
SP1	PTN	1.0	A
ATF3	SELE	-1.0	A
RELA	EDN1	1.0	A
SP1	ALOX12	1.0	A
WT1	CCN2	-1.0	A
STAT1	TAP1	1.0	A
NFKB1	IL6	1.0	A
CREB1	TG	1.0	A
SP1	CD44	1.0	A
JUN	ATF3	1.0	A
ATF2	ATF3	1.0	A
TP53	RRM2B	1.0	A
CEBPB	CDKN1A	1.0	A
ESR1	SP1	1.0	A
SP1	ESR1	1.0	A
EGR1	TGFBR2	-1.0	A
ZIC2	DRD1	-1.0	A
SMAD3	APOC3	1.0	A
SMAD4	APOC3	1.0	A
POU2F1	HPGDS	1.0	A
JUN	GCLC	1.0	A
HIF1A	TP53	1.0	A
TFAP2A	VEGFA	1.0	A
CEBPB	IL4	1.0	A
ESR1	APOA1	1.0	A
NR5A1	CYP11B1	1.0	A
ATF1	CGA	1.0	A
CREB1	CGA	1.0	A
ESR2	PGR	1.0	A
BMAL2	SERPINE1	1.0	A
SPI1	GATA1	-1.0	A
ESR1	KRT19	1.0	A
ESR1	AKT1	1.0	A
ESR1	NOS3	1.0	A
SP1	POLB	-1.0	A
E2F4	CDK1	1.0	A
NFKB1	CRP	1.0	A
NFKB1	IL1B	1.0	A
JUN	NQO1	1.0	A
NFE2L2	NQO1	1.0	A
ZIC1	APOE	1.0	A
ZIC2	APOE	1.0	A
ATF2	PCK1	1.0	A
WT1	VDR	1.0	A
SP1	IL1A	1.0	A
FOXA1	SFTPB	1.0	A
HES1	ASCL1	-1.0	A
REL	F3	1.0	A
NFKB1	MMP9	1.0	A
NFKB1	NFKBIA	1.0	A
RELA	MMP9	1.0	A
RELA	NFKBIA	1.0	A
SP1	MMP9	1.0	A
TBX2	CDKN2A	-1.0	A
WT1	EGFR	-1.0	A
SP3	ALPL	1.0	A
MITF	KIT	1.0	A
MYF6	ACACB	1.0	A
NFKB1	PTGS2	1.0	A
RELA	PTGS2	1.0	A
USF1	HOXB4	1.0	A
USF2	HOXB4	1.0	A
IRF1	HLA-G	1.0	A
ESR1	AVP	1.0	A
CREB1	PTGS2	1.0	A
GATA3	IL4	1.0	A
TFAP2C	CSTA	1.0	A
MYB	RAG2	1.0	A
TP53	PPM1D	1.0	A
PRDM1	CIITA	-1.0	A
MYC	BAX	1.0	A
TP53	FAS	1.0	A
ATF1	TH	1.0	A
SREBF2	FDFT1	1.0	A
SP1	CXCL1	1.0	A
NFKB1	CFTR	1.0	A
RELA	CFTR	1.0	A
RELA	IL1B	1.0	A
SPI1	PTPRC	1.0	A
AHR	MYC	1.0	A
RELA	MYC	1.0	A
MYB	MAT2A	1.0	A
CREB1	PSEN1	1.0	A
CREB1	REN	1.0	A
SP1	TP53	1.0	A
NFE2L2	GCLC	1.0	A
USF1	S100A6	1.0	A
HIF1A	SLC2A1	1.0	A
STAT3	BCL6	1.0	A
TP53	HRAS	1.0	A
TP53	NOS2	-1.0	A
STAT1	COL1A2	1.0	A
CREB1	TRH	1.0	A
JUN	IL1B	1.0	A
ESR1	TGFA	1.0	A
TFAP2A	DBH	1.0	A
TFAP2A	TH	1.0	A
NR1H3	APOE	1.0	A
NR1H3	ABCG1	1.0	A
TP53	CHEK1	-1.0	A
NKX2-1	SFTPB	1.0	A
E2F4	DHFR	-1.0	A
TFDP1	DHFR	1.0	A
ETV4	MMP7	1.0	A
STAT3	MCL1	1.0	A
SP1	CCND2	1.0	A
STAT5A	CCND2	1.0	A
REL	IL6	-1.0	A
REL	CRP	1.0	A
CEBPB	IGF2	1.0	A
SP1	IGF2	1.0	A
ESR1	CTSD	1.0	A
SP1	CTSD	1.0	A
GATA2	EPO	-1.0	A
RARA	MUC5AC	1.0	A
PPARA	CPT1A	1.0	A
ESR1	HSPB1	1.0	A
CREB1	NF1	1.0	A
ETV4	ERBB2	-1.0	A
CREB1	PLAT	-1.0	A
ATF2	PLAT	1.0	A
HNF1A	UGT2B17	1.0	A
JUN	VEGFA	1.0	A
NR5A1	SRY	1.0	A
SP1	MUC2	1.0	A
SP3	MUC2	1.0	A
POU2F1	GADD45A	1.0	A
SP1	PDGFB	1.0	A
EGR1	PDGFB	1.0	A
HNF4A	APOB	1.0	A
HNF4A	APOC3	1.0	A
SP1	CDKN1B	1.0	A
ETS1	CDKN2A	1.0	A
ETS2	CDKN2A	1.0	A
FOSL1	PLAUR	1.0	A
JUN	PLAUR	1.0	A
TP53	NDRG1	1.0	A
MITF	TYRP1	1.0	A
SP3	UTRN	1.0	A
IRF1	TAP2	1.0	A
CREB1	IL2	1.0	A
ETV4	PLAUR	-1.0	A
SPI1	CYBB	1.0	A
USF1	APC	1.0	A
USF2	APC	1.0	A
JUN	NOS2	1.0	A
SPI1	IL12B	1.0	A
REL	IL2	1.0	A
JUND	IVL	1.0	A
SP1	GJA1	1.0	A
SOX9	AMH	1.0	A
SRF	DMD	1.0	A
SP3	MAOB	-1.0	A
SP1	MAOB	1.0	A
FOS	CD69	1.0	A
NR3C1	SCNN1A	1.0	A
USF1	CYP1A1	-1.0	A
ETV4	PTGS2	1.0	A
NFE2L2	HMOX1	1.0	A
ESR1	CDKN1A	1.0	A
TP53	CASP1	1.0	A
PPARG	PTGS2	-1.0	A
POU2F1	CDX2	1.0	A
HNF1A	PDX1	1.0	A
SP1	APOA1	1.0	A
HIF1A	EDN1	1.0	A
CEBPB	IL12B	1.0	A
JUN	IL12B	1.0	A
SRF	TAGLN	1.0	A
CDX2	SI	1.0	A
E4F1	CCNA2	-1.0	A
ZBTB17	CDKN2B	1.0	A
MYC	CDKN2B	-1.0	A
PPARA	FABP1	1.0	A
HNF1A	AKR1C4	1.0	A
SP1	SLC9A2	1.0	A
SP3	SLC9A2	1.0	A
NR1H2	SREBF1	1.0	A
NR1H3	SREBF1	1.0	A
PPARG	CCND1	-1.0	A
FOS	CCND1	-1.0	A
MYB	CD4	1.0	A
SP1	CDK6	-1.0	A
WT1	AR	-1.0	A
TP53	DNMT1	-1.0	A
MITF	DCT	1.0	A
TFAP2A	F2R	-1.0	A
TFAP2A	FAS	1.0	A
TFAP2A	KIT	1.0	A
STAT3	A2M	1.0	A
JUN	NR3C1	-1.0	A
JUN	CYP11A1	1.0	A
JUN	MMP9	1.0	A
USF1	TOP3A	1.0	A
YY1	TOP3A	1.0	A
NRL	RHO	1.0	A
SMAD3	BGLAP	1.0	A
MITF	CTSK	1.0	A
JUND	IL6	1.0	A
SP1	CES1	1.0	A
TFAP2A	TAF7	1.0	A
CEBPA	LEP	1.0	A
MYC	CEBPA	-1.0	A
CEBPA	MYC	-1.0	A
SP1	CD28	1.0	A
EGR1	CD28	1.0	A
SP1	COL1A1	-1.0	A
SP1	TIMP1	1.0	A
TP53	MSH2	1.0	A
FOS	VEGFA	1.0	A
FOS	IL6	-1.0	A
USF1	PTGS2	-1.0	A
HIF1A	HMOX1	1.0	A
FOXP1	SFTPC	1.0	A
PAX5	CD19	1.0	A
RELA	NFKB1	1.0	A
AHR	UGT1A6	1.0	A
SP1	CD99	1.0	A
STAT6	BCL2L1	1.0	A
TP53	POLD1	-1.0	A
HNF4A	GHR	1.0	A
CREB1	BDNF	1.0	A
PPARG	PTEN	1.0	A
NR1H4	ABCB11	1.0	A
RELA	BCL3	1.0	A
E2F1	APAF1	1.0	A
TP53	APAF1	1.0	A
ETS1	CSNK2A2	1.0	A
SP3	TNF	-1.0	A
RELA	CSF2	1.0	A
TP53	CDC25C	-1.0	A
PPARG	PCK1	1.0	A
SP1	AGTR1	1.0	A
TFAP2A	CDKN1A	1.0	A
HSF1	HSPA1B	1.0	A
SPI1	ACP5	1.0	A
SP1	MAT2A	1.0	A
SP1	CA9	1.0	A
STAT3	BCL2	1.0	A
E2F1	TERT	1.0	A
BMAL1	CRY1	1.0	A
BMAL1	PER2	1.0	A
NPAS2	CRY1	1.0	A
NPAS2	PER1	1.0	A
NPAS2	PER2	1.0	A
SP1	COL2A1	1.0	A
SP3	COL2A1	-1.0	A
PAX8	BCL2	1.0	A
ESR1	F12	1.0	A
TP53	BBC3	1.0	A
FOXO1	PCK1	1.0	A
SP1	MYC	1.0	A
SP1	CYP7B1	1.0	A
TP53	SERPINE1	1.0	A
NFKB1	FAS	1.0	A
SMAD3	PTHLH	1.0	A
SP1	IFNGR1	1.0	A
EGR1	CAT	1.0	A
SP1	GSTP1	1.0	A
ETS1	ABCB1	1.0	A
TFAP2C	ERBB2	1.0	A
SP3	CYP3A5	1.0	A
NFYA	SP3	1.0	A
NFAT5	TNF	1.0	A
SP3	CYP3A7	1.0	A
SP1	CYP3A4	1.0	A
SP1	CYP3A7	1.0	A
EGR1	CCND1	1.0	A
EGR1	CDKN1A	1.0	A
AR	JUN	1.0	A
MYC	CCNE1	1.0	A
SOX9	CDKN1A	1.0	A
SP3	IGFBP3	1.0	A
SP1	IGFBP3	1.0	A
STAT5B	IGF1	1.0	A
CDX2	KLF4	1.0	A
TP53	HIPK2	1.0	A
PPARG	ADIPOQ	1.0	A
HNF4A	CYP8B1	1.0	A
SOX10	DCT	-1.0	A
TP53	PTEN	1.0	A
TP53	EGFR	1.0	A
KLF4	LAMA3	1.0	A
TP53	CHUK	-1.0	A
TBX5	NPPA	1.0	A
USF2	TOP3A	1.0	A
ELK1	FOS	1.0	A
FOS	FGF2	1.0	A
HNF4A	PCK1	1.0	A
E2F1	BCL2	1.0	A
SP1	HRAS	1.0	A
SP1	CXCL5	1.0	A
ZNF148	CXCL5	1.0	A
NFKB1	BCL2	1.0	A
SMAD4	FSTL3	1.0	A
TP53	AFP	-1.0	A
FOXM1	CCNB1	1.0	A
FOXM1	CCND1	1.0	A
PAX8	SLC5A5	1.0	A
SP1	MMP28	1.0	A
SP1	PAX6	1.0	A
TWIST1	CDKN1A	-1.0	A
GATA3	IL13	-1.0	A
TP73	CDK1	-1.0	A
ATF6	ATP2A2	1.0	A
CEBPG	SFTPD	1.0	A
CEBPA	SFTPD	1.0	A
CEBPB	SFTPD	1.0	A
TP53	EPHA2	1.0	A
TP53	TGFA	1.0	A
SP1	OPRM1	1.0	A
SP3	OPRM1	1.0	A
JUN	APP	1.0	A
ESR1	STAT5A	1.0	A
STAT5A	ESR1	1.0	A
STAT5A	ESR2	1.0	A
STAT5B	ESR1	1.0	A
STAT3	FOS	1.0	A
E2F4	MYC	-1.0	A
