sample	patient	fov	method	gene
Lung5_Rep1	Lung5	4	hs_program	CRIP1
Lung5_Rep1	Lung5	4	hs_program	CTNNB1
Lung5_Rep1	Lung5	4	hs_program	CX3CL1
Lung5_Rep1	Lung5	4	hs_program	CXCL1
Lung5_Rep1	Lung5	4	hs_program	CXCL2
Lung5_Rep1	Lung5	4	hs_program	CXCL3
Lung5_Rep1	Lung5	4	hs_program	CXCL5
Lung5_Rep1	Lung5	4	hs_program	CYSTM1
Lung5_Rep1	Lung5	4	hs_program	DDR1
Lung5_Rep1	Lung5	4	hs_program	DMBT1
Lung5_Rep1	Lung5	4	hs_program	DUSP4
Lung5_Rep1	Lung5	4	hs_program	DUSP6
Lung5_Rep1	Lung5	4	hs_program	EFNA1
Lung5_Rep1	Lung5	4	hs_program	EFNA5
Lung5_Rep1	Lung5	4	hs_program	EFNB1
Lung5_Rep1	Lung5	4	hs_program	EPCAM
Lung5_Rep1	Lung5	4	hs_program	EPHA2
Lung5_Rep1	Lung5	4	hs_program	EPHB3
Lung5_Rep1	Lung5	4	hs_program	EPHB4
Lung5_Rep1	Lung5	4	hs_program	ERBB2
Lung5_Rep1	Lung5	4	hs_program	ERBB3
Lung5_Rep1	Lung5	4	hs_program	ETV4
Lung5_Rep1	Lung5	4	hs_program	ETV5
Lung5_Rep1	Lung5	4	hs_program	EZR
Lung5_Rep1	Lung5	4	hs_program	FGF2
Lung5_Rep1	Lung5	4	hs_program	FGFR2
Lung5_Rep1	Lung5	4	hs_program	FGFR3
Lung5_Rep1	Lung5	4	hs_program	FOS
Lung5_Rep1	Lung5	4	hs_program	FZD5
Lung5_Rep1	Lung5	4	hs_program	GAS6
Lung5_Rep1	Lung5	4	hs_program	GDF15
Lung5_Rep1	Lung5	4	hs_program	GSN
Lung5_Rep1	Lung5	4	hs_program	GSTP1
Lung5_Rep1	Lung5	4	hs_program	H2AZ1
Lung5_Rep1	Lung5	4	hs_program	H4C3
Lung5_Rep1	Lung5	4	hs_program	HDAC1
Lung5_Rep1	Lung5	4	hs_program	HSD17B2
Lung5_Rep1	Lung5	4	hs_program	HSP90AB1
Lung5_Rep1	Lung5	4	hs_program	HSP90B1
Lung5_Rep1	Lung5	4	hs_program	IER3
Lung5_Rep1	Lung5	4	hs_program	IFNGR2
Lung5_Rep1	Lung5	4	hs_program	IL13RA1
Lung5_Rep1	Lung5	4	hs_program	IL17RB
Lung5_Rep1	Lung5	4	hs_program	IL17RE
Lung5_Rep1	Lung5	4	hs_program	IL20RA
Lung5_Rep1	Lung5	4	hs_program	ITGA2
Lung5_Rep1	Lung5	4	hs_program	ITGA3
Lung5_Rep1	Lung5	4	hs_program	ITGA6
Lung5_Rep1	Lung5	4	hs_program	ITGAV
Lung5_Rep1	Lung5	4	hs_program	ITGB1
Lung5_Rep1	Lung5	4	hs_program	ITGB4
Lung5_Rep1	Lung5	4	hs_program	ITGB5
Lung5_Rep1	Lung5	4	hs_program	ITGB6
Lung5_Rep1	Lung5	4	hs_program	ITGB8
Lung5_Rep1	Lung5	4	hs_program	JAG1
Lung5_Rep1	Lung5	4	hs_program	JUN
Lung5_Rep1	Lung5	4	hs_program	JUNB
Lung5_Rep1	Lung5	4	hs_program	KITLG
Lung5_Rep1	Lung5	4	hs_program	KRT1
Lung5_Rep1	Lung5	4	hs_program	KRT13
Lung5_Rep1	Lung5	4	hs_program	KRT14
Lung5_Rep1	Lung5	4	hs_program	KRT15
Lung5_Rep1	Lung5	4	hs_program	KRT16
Lung5_Rep1	Lung5	4	hs_program	KRT17
Lung5_Rep1	Lung5	4	hs_program	KRT18
Lung5_Rep1	Lung5	4	hs_program	KRT19
Lung5_Rep1	Lung5	4	hs_program	KRT23
Lung5_Rep1	Lung5	4	hs_program	KRT7
Lung5_Rep1	Lung5	4	hs_program	KRT8
Lung5_Rep1	Lung5	4	hs_program	LCN2
Lung5_Rep1	Lung5	4	hs_program	LDLR
Lung5_Rep1	Lung5	4	hs_program	LGALS3BP
Lung5_Rep1	Lung5	4	hs_program	LIF
Lung5_Rep1	Lung5	4	hs_program	LMNA
Lung5_Rep1	Lung5	4	hs_program	LTBR
Lung5_Rep1	Lung5	4	hs_program	LY6D
Lung5_Rep1	Lung5	4	hs_program	LYZ
Lung5_Rep1	Lung5	4	hs_program	MET
Lung5_Rep1	Lung5	4	hs_program	MIF
Lung5_Rep1	Lung5	4	hs_program	MKI67
Lung5_Rep1	Lung5	4	hs_program	MMP1
Lung5_Rep1	Lung5	4	hs_program	MMP7
Lung5_Rep1	Lung5	4	hs_program	MSMB
Lung5_Rep1	Lung5	4	hs_program	MST1R
Lung5_Rep1	Lung5	4	hs_program	MTRNR2L1
Lung5_Rep1	Lung5	4	hs_program	NDRG1
Lung5_Rep1	Lung5	4	hs_program	NEAT1
Lung5_Rep1	Lung5	4	hs_program	NOTCH3
Lung5_Rep1	Lung5	4	hs_program	OAS1
Lung5_Rep1	Lung5	4	hs_program	OLFM4
Lung5_Rep1	Lung5	4	hs_program	OSMR
Lung5_Rep1	Lung5	4	hs_program	PHLDA2
Lung5_Rep1	Lung5	4	hs_program	PIGR
Lung5_Rep1	Lung5	4	hs_program	PPARG
Lung5_Rep1	Lung5	4	hs_program	PSCA
Lung5_Rep1	Lung5	4	hs_program	PTK6
Lung5_Rep1	Lung5	4	hs_program	RAC1
Lung5_Rep1	Lung5	4	hs_program	RNF43
Lung5_Rep1	Lung5	4	hs_program	RPL22
Lung5_Rep1	Lung5	4	hs_program	RPL37
Lung5_Rep1	Lung5	4	hs_program	S100A10
Lung5_Rep1	Lung5	4	hs_program	S100A6
Lung5_Rep1	Lung5	4	hs_program	S100P
Lung5_Rep1	Lung5	4	hs_program	SERPINA3
Lung5_Rep1	Lung5	4	hs_program	SERPINB5
Lung5_Rep1	Lung5	4	hs_program	SFN
Lung5_Rep1	Lung5	4	hs_program	SLC2A1
Lung5_Rep1	Lung5	4	hs_program	SLC40A1
Lung5_Rep1	Lung5	4	hs_program	SLPI
Lung5_Rep1	Lung5	4	hs_program	SMAD3
Lung5_Rep1	Lung5	4	hs_program	SOD1
Lung5_Rep1	Lung5	4	hs_program	SOX9
Lung5_Rep1	Lung5	4	hs_program	SPINK1
Lung5_Rep1	Lung5	4	hs_program	SRC
Lung5_Rep1	Lung5	4	hs_program	TACSTD2
Lung5_Rep1	Lung5	4	hs_program	TGFBR2
Lung5_Rep1	Lung5	4	hs_program	TM4SF1
Lung5_Rep1	Lung5	4	hs_program	TNFRSF10B
Lung5_Rep1	Lung5	4	hs_program	TNFRSF11A
Lung5_Rep1	Lung5	4	hs_program	TNFRSF1A
Lung5_Rep1	Lung5	4	hs_program	TNFRSF21
Lung5_Rep1	Lung5	4	hs_program	TNFSF10
Lung5_Rep1	Lung5	4	hs_program	TOP2A
Lung5_Rep1	Lung5	4	hs_program	TPM1
Lung5_Rep1	Lung5	4	hs_program	TSC22D1
Lung5_Rep1	Lung5	4	hs_program	TUBB4B
Lung5_Rep1	Lung5	4	hs_program	TYMS
Lung5_Rep1	Lung5	4	hs_program	VEGFA
Lung5_Rep1	Lung5	4	hs_program	XBP1
Lung5_Rep1	Lung5	4	hs_program	YES1
Lung5_Rep1	Lung5	4	hs_program	ZFP36
Lung5_Rep1	Lung5	5	hs_program	AATK
Lung5_Rep1	Lung5	5	hs_program	ACVR1
Lung5_Rep1	Lung5	5	hs_program	ADGRA3
Lung5_Rep1	Lung5	5	hs_program	ADGRF1
Lung5_Rep1	Lung5	5	hs_program	ADGRG1
Lung5_Rep1	Lung5	5	hs_program	ADGRG6
Lung5_Rep1	Lung5	5	hs_program	ADIRF
Lung5_Rep1	Lung5	5	hs_program	AGR2
Lung5_Rep1	Lung5	5	hs_program	AHR
Lung5_Rep1	Lung5	5	hs_program	ANXA1
Lung5_Rep1	Lung5	5	hs_program	ANXA2
Lung5_Rep1	Lung5	5	hs_program	ANXA4
Lung5_Rep1	Lung5	5	hs_program	APP
Lung5_Rep1	Lung5	5	hs_program	ARF1
Lung5_Rep1	Lung5	5	hs_program	AZGP1
Lung5_Rep1	Lung5	5	hs_program	B3GNT7
Lung5_Rep1	Lung5	5	hs_program	BCL2L1
Lung5_Rep1	Lung5	5	hs_program	BMP4
Lung5_Rep1	Lung5	5	hs_program	CALM2
Lung5_Rep1	Lung5	5	hs_program	CASR
Lung5_Rep1	Lung5	5	hs_program	CCND1
Lung5_Rep1	Lung5	5	hs_program	CD24
Lung5_Rep1	Lung5	5	hs_program	CD276
Lung5_Rep1	Lung5	5	hs_program	CD55
Lung5_Rep1	Lung5	5	hs_program	CD58
Lung5_Rep1	Lung5	5	hs_program	CD59
Lung5_Rep1	Lung5	5	hs_program	CD9
Lung5_Rep1	Lung5	5	hs_program	CDH1
Lung5_Rep1	Lung5	5	hs_program	CEACAM1
Lung5_Rep1	Lung5	5	hs_program	CEACAM6
Lung5_Rep1	Lung5	5	hs_program	CLDN4
Lung5_Rep1	Lung5	5	hs_program	COL17A1
Lung5_Rep1	Lung5	5	hs_program	COL27A1
Lung5_Rep1	Lung5	5	hs_program	CRIP1
Lung5_Rep1	Lung5	5	hs_program	CTNNB1
Lung5_Rep1	Lung5	5	hs_program	CXCL5
Lung5_Rep1	Lung5	5	hs_program	CYSTM1
Lung5_Rep1	Lung5	5	hs_program	DDR1
Lung5_Rep1	Lung5	5	hs_program	DUSP4
Lung5_Rep1	Lung5	5	hs_program	DUSP6
Lung5_Rep1	Lung5	5	hs_program	EFNA1
Lung5_Rep1	Lung5	5	hs_program	EFNA5
Lung5_Rep1	Lung5	5	hs_program	EFNB1
Lung5_Rep1	Lung5	5	hs_program	EPCAM
Lung5_Rep1	Lung5	5	hs_program	EPHA2
Lung5_Rep1	Lung5	5	hs_program	EPHB3
Lung5_Rep1	Lung5	5	hs_program	EPHB4
Lung5_Rep1	Lung5	5	hs_program	ERBB2
Lung5_Rep1	Lung5	5	hs_program	ERBB3
Lung5_Rep1	Lung5	5	hs_program	ETV4
Lung5_Rep1	Lung5	5	hs_program	ETV5
Lung5_Rep1	Lung5	5	hs_program	EZR
Lung5_Rep1	Lung5	5	hs_program	FASN
Lung5_Rep1	Lung5	5	hs_program	FGFR2
Lung5_Rep1	Lung5	5	hs_program	FGFR3
Lung5_Rep1	Lung5	5	hs_program	GDF15
Lung5_Rep1	Lung5	5	hs_program	GSTP1
Lung5_Rep1	Lung5	5	hs_program	H2AZ1
Lung5_Rep1	Lung5	5	hs_program	H4C3
Lung5_Rep1	Lung5	5	hs_program	HDAC1
Lung5_Rep1	Lung5	5	hs_program	HDAC11
Lung5_Rep1	Lung5	5	hs_program	HSD17B2
Lung5_Rep1	Lung5	5	hs_program	HSP90AB1
Lung5_Rep1	Lung5	5	hs_program	HSP90B1
Lung5_Rep1	Lung5	5	hs_program	IER3
Lung5_Rep1	Lung5	5	hs_program	IFNAR2
Lung5_Rep1	Lung5	5	hs_program	IL13RA1
Lung5_Rep1	Lung5	5	hs_program	IL17RB
Lung5_Rep1	Lung5	5	hs_program	IL17RE
Lung5_Rep1	Lung5	5	hs_program	IL1RAP
Lung5_Rep1	Lung5	5	hs_program	IL1RN
Lung5_Rep1	Lung5	5	hs_program	IL22RA1
Lung5_Rep1	Lung5	5	hs_program	ITGA2
Lung5_Rep1	Lung5	5	hs_program	ITGA3
Lung5_Rep1	Lung5	5	hs_program	ITGA6
Lung5_Rep1	Lung5	5	hs_program	ITGB1
Lung5_Rep1	Lung5	5	hs_program	ITGB4
Lung5_Rep1	Lung5	5	hs_program	ITGB5
Lung5_Rep1	Lung5	5	hs_program	ITGB6
Lung5_Rep1	Lung5	5	hs_program	ITGB8
Lung5_Rep1	Lung5	5	hs_program	JAG1
Lung5_Rep1	Lung5	5	hs_program	KITLG
Lung5_Rep1	Lung5	5	hs_program	KRT1
Lung5_Rep1	Lung5	5	hs_program	KRT14
Lung5_Rep1	Lung5	5	hs_program	KRT15
Lung5_Rep1	Lung5	5	hs_program	KRT16
Lung5_Rep1	Lung5	5	hs_program	KRT17
Lung5_Rep1	Lung5	5	hs_program	KRT18
Lung5_Rep1	Lung5	5	hs_program	KRT19
Lung5_Rep1	Lung5	5	hs_program	KRT23
Lung5_Rep1	Lung5	5	hs_program	KRT6A
Lung5_Rep1	Lung5	5	hs_program	KRT6B
Lung5_Rep1	Lung5	5	hs_program	KRT6C
Lung5_Rep1	Lung5	5	hs_program	KRT7
Lung5_Rep1	Lung5	5	hs_program	KRT8
Lung5_Rep1	Lung5	5	hs_program	LCN2
Lung5_Rep1	Lung5	5	hs_program	LDLR
Lung5_Rep1	Lung5	5	hs_program	LGALS3BP
Lung5_Rep1	Lung5	5	hs_program	LIF
Lung5_Rep1	Lung5	5	hs_program	LMNA
Lung5_Rep1	Lung5	5	hs_program	LTBR
Lung5_Rep1	Lung5	5	hs_program	LYZ
Lung5_Rep1	Lung5	5	hs_program	MAPK13
Lung5_Rep1	Lung5	5	hs_program	MAPK14
Lung5_Rep1	Lung5	5	hs_program	MECOM
Lung5_Rep1	Lung5	5	hs_program	MET
Lung5_Rep1	Lung5	5	hs_program	MIF
Lung5_Rep1	Lung5	5	hs_program	MMP1
Lung5_Rep1	Lung5	5	hs_program	MMP7
Lung5_Rep1	Lung5	5	hs_program	MST1R
Lung5_Rep1	Lung5	5	hs_program	MT1X
Lung5_Rep1	Lung5	5	hs_program	MTRNR2L1
Lung5_Rep1	Lung5	5	hs_program	NDRG1
Lung5_Rep1	Lung5	5	hs_program	NOTCH3
Lung5_Rep1	Lung5	5	hs_program	NR1H4
Lung5_Rep1	Lung5	5	hs_program	OASL
Lung5_Rep1	Lung5	5	hs_program	OLFM4
Lung5_Rep1	Lung5	5	hs_program	OSMR
Lung5_Rep1	Lung5	5	hs_program	PCNA
Lung5_Rep1	Lung5	5	hs_program	PHLDA2
Lung5_Rep1	Lung5	5	hs_program	PIGR
Lung5_Rep1	Lung5	5	hs_program	POU5F1
Lung5_Rep1	Lung5	5	hs_program	PPARG
Lung5_Rep1	Lung5	5	hs_program	PRSS2
Lung5_Rep1	Lung5	5	hs_program	PSCA
Lung5_Rep1	Lung5	5	hs_program	PTGDR2
Lung5_Rep1	Lung5	5	hs_program	PTGES
Lung5_Rep1	Lung5	5	hs_program	PTK6
Lung5_Rep1	Lung5	5	hs_program	RAC1
Lung5_Rep1	Lung5	5	hs_program	RAMP1
Lung5_Rep1	Lung5	5	hs_program	RARA
Lung5_Rep1	Lung5	5	hs_program	RNF43
Lung5_Rep1	Lung5	5	hs_program	RPL22
Lung5_Rep1	Lung5	5	hs_program	RPL37
Lung5_Rep1	Lung5	5	hs_program	S100A10
Lung5_Rep1	Lung5	5	hs_program	S100A6
Lung5_Rep1	Lung5	5	hs_program	S100P
Lung5_Rep1	Lung5	5	hs_program	SEC61G
Lung5_Rep1	Lung5	5	hs_program	SERPINB5
Lung5_Rep1	Lung5	5	hs_program	SFN
Lung5_Rep1	Lung5	5	hs_program	SLC2A1
Lung5_Rep1	Lung5	5	hs_program	SLC40A1
Lung5_Rep1	Lung5	5	hs_program	SLPI
Lung5_Rep1	Lung5	5	hs_program	SMAD2
Lung5_Rep1	Lung5	5	hs_program	SMAD3
Lung5_Rep1	Lung5	5	hs_program	SOD1
Lung5_Rep1	Lung5	5	hs_program	SOX4
Lung5_Rep1	Lung5	5	hs_program	SOX9
Lung5_Rep1	Lung5	5	hs_program	SPINK1
Lung5_Rep1	Lung5	5	hs_program	SRC
Lung5_Rep1	Lung5	5	hs_program	STAT6
Lung5_Rep1	Lung5	5	hs_program	TACSTD2
Lung5_Rep1	Lung5	5	hs_program	TGFBR2
Lung5_Rep1	Lung5	5	hs_program	TM4SF1
Lung5_Rep1	Lung5	5	hs_program	TNFRSF10B
Lung5_Rep1	Lung5	5	hs_program	TNFRSF11A
Lung5_Rep1	Lung5	5	hs_program	TNFRSF21
Lung5_Rep1	Lung5	5	hs_program	TOP2A
Lung5_Rep1	Lung5	5	hs_program	TPM1
Lung5_Rep1	Lung5	5	hs_program	TSC22D1
Lung5_Rep1	Lung5	5	hs_program	TUBB
Lung5_Rep1	Lung5	5	hs_program	TUBB4B
Lung5_Rep1	Lung5	5	hs_program	TYK2
Lung5_Rep1	Lung5	5	hs_program	VEGFA
Lung5_Rep1	Lung5	5	hs_program	WNT11
Lung5_Rep1	Lung5	5	hs_program	WNT7A
Lung5_Rep1	Lung5	5	hs_program	WNT7B
Lung5_Rep1	Lung5	5	hs_program	YES1
Lung5_Rep1	Lung5	6	hs_program	AATK
Lung5_Rep1	Lung5	6	hs_program	ADGRA3
Lung5_Rep1	Lung5	6	hs_program	ADGRG1
Lung5_Rep1	Lung5	6	hs_program	ADGRG6
Lung5_Rep1	Lung5	6	hs_program	AGR2
Lung5_Rep1	Lung5	6	hs_program	AHR
Lung5_Rep1	Lung5	6	hs_program	ANXA1
Lung5_Rep1	Lung5	6	hs_program	ANXA2
Lung5_Rep1	Lung5	6	hs_program	ANXA4
Lung5_Rep1	Lung5	6	hs_program	APP
Lung5_Rep1	Lung5	6	hs_program	ARF1
Lung5_Rep1	Lung5	6	hs_program	AZGP1
Lung5_Rep1	Lung5	6	hs_program	B3GNT7
Lung5_Rep1	Lung5	6	hs_program	BCL2L1
Lung5_Rep1	Lung5	6	hs_program	BMP4
Lung5_Rep1	Lung5	6	hs_program	BMPR2
Lung5_Rep1	Lung5	6	hs_program	CALM2
Lung5_Rep1	Lung5	6	hs_program	CASR
Lung5_Rep1	Lung5	6	hs_program	CCND1
Lung5_Rep1	Lung5	6	hs_program	CD24
Lung5_Rep1	Lung5	6	hs_program	CD276
Lung5_Rep1	Lung5	6	hs_program	CD55
Lung5_Rep1	Lung5	6	hs_program	CD59
Lung5_Rep1	Lung5	6	hs_program	CD63
Lung5_Rep1	Lung5	6	hs_program	CD9
Lung5_Rep1	Lung5	6	hs_program	CDH1
Lung5_Rep1	Lung5	6	hs_program	CEACAM1
Lung5_Rep1	Lung5	6	hs_program	CEACAM6
Lung5_Rep1	Lung5	6	hs_program	CELSR1
Lung5_Rep1	Lung5	6	hs_program	CENPF
Lung5_Rep1	Lung5	6	hs_program	CLDN4
Lung5_Rep1	Lung5	6	hs_program	COL17A1
Lung5_Rep1	Lung5	6	hs_program	COL27A1
Lung5_Rep1	Lung5	6	hs_program	CRIP1
Lung5_Rep1	Lung5	6	hs_program	CTNNB1
Lung5_Rep1	Lung5	6	hs_program	CX3CL1
Lung5_Rep1	Lung5	6	hs_program	CXCL1
Lung5_Rep1	Lung5	6	hs_program	CXCL16
Lung5_Rep1	Lung5	6	hs_program	CXCL3
Lung5_Rep1	Lung5	6	hs_program	CXCL5
Lung5_Rep1	Lung5	6	hs_program	CYSTM1
Lung5_Rep1	Lung5	6	hs_program	DDR1
Lung5_Rep1	Lung5	6	hs_program	DUSP4
Lung5_Rep1	Lung5	6	hs_program	EFNB1
Lung5_Rep1	Lung5	6	hs_program	EFNB2
Lung5_Rep1	Lung5	6	hs_program	EGFR
Lung5_Rep1	Lung5	6	hs_program	EPCAM
Lung5_Rep1	Lung5	6	hs_program	EPHA2
Lung5_Rep1	Lung5	6	hs_program	EPHB3
Lung5_Rep1	Lung5	6	hs_program	EPHB4
Lung5_Rep1	Lung5	6	hs_program	ERBB2
Lung5_Rep1	Lung5	6	hs_program	ERBB3
Lung5_Rep1	Lung5	6	hs_program	ETV4
Lung5_Rep1	Lung5	6	hs_program	EZR
Lung5_Rep1	Lung5	6	hs_program	FASN
Lung5_Rep1	Lung5	6	hs_program	GAS6
Lung5_Rep1	Lung5	6	hs_program	GPX1
Lung5_Rep1	Lung5	6	hs_program	GSN
Lung5_Rep1	Lung5	6	hs_program	GSTP1
Lung5_Rep1	Lung5	6	hs_program	HSP90AB1
Lung5_Rep1	Lung5	6	hs_program	IER3
Lung5_Rep1	Lung5	6	hs_program	IFI27
Lung5_Rep1	Lung5	6	hs_program	IFNGR2
Lung5_Rep1	Lung5	6	hs_program	IL17RB
Lung5_Rep1	Lung5	6	hs_program	IL18
Lung5_Rep1	Lung5	6	hs_program	IL1RAP
Lung5_Rep1	Lung5	6	hs_program	INSR
Lung5_Rep1	Lung5	6	hs_program	ITGA2
Lung5_Rep1	Lung5	6	hs_program	ITGA3
Lung5_Rep1	Lung5	6	hs_program	ITGA6
Lung5_Rep1	Lung5	6	hs_program	ITGAV
Lung5_Rep1	Lung5	6	hs_program	ITGB1
Lung5_Rep1	Lung5	6	hs_program	ITGB4
Lung5_Rep1	Lung5	6	hs_program	ITGB5
Lung5_Rep1	Lung5	6	hs_program	ITGB6
Lung5_Rep1	Lung5	6	hs_program	ITGB8
Lung5_Rep1	Lung5	6	hs_program	JAG1
Lung5_Rep1	Lung5	6	hs_program	JUNB
Lung5_Rep1	Lung5	6	hs_program	KRT1
Lung5_Rep1	Lung5	6	hs_program	KRT13
Lung5_Rep1	Lung5	6	hs_program	KRT14
Lung5_Rep1	Lung5	6	hs_program	KRT15
Lung5_Rep1	Lung5	6	hs_program	KRT16
Lung5_Rep1	Lung5	6	hs_program	KRT17
Lung5_Rep1	Lung5	6	hs_program	KRT18
Lung5_Rep1	Lung5	6	hs_program	KRT19
Lung5_Rep1	Lung5	6	hs_program	KRT23
Lung5_Rep1	Lung5	6	hs_program	KRT7
Lung5_Rep1	Lung5	6	hs_program	KRT8
Lung5_Rep1	Lung5	6	hs_program	LDLR
Lung5_Rep1	Lung5	6	hs_program	LGALS3
Lung5_Rep1	Lung5	6	hs_program	LGALS3BP
Lung5_Rep1	Lung5	6	hs_program	LIF
Lung5_Rep1	Lung5	6	hs_program	LMNA
Lung5_Rep1	Lung5	6	hs_program	LTBR
Lung5_Rep1	Lung5	6	hs_program	LY75
Lung5_Rep1	Lung5	6	hs_program	LYZ
Lung5_Rep1	Lung5	6	hs_program	MECOM
Lung5_Rep1	Lung5	6	hs_program	MET
Lung5_Rep1	Lung5	6	hs_program	MIF
Lung5_Rep1	Lung5	6	hs_program	MMP1
Lung5_Rep1	Lung5	6	hs_program	MMP7
Lung5_Rep1	Lung5	6	hs_program	MST1R
Lung5_Rep1	Lung5	6	hs_program	MTRNR2L1
Lung5_Rep1	Lung5	6	hs_program	NEAT1
Lung5_Rep1	Lung5	6	hs_program	NOTCH3
Lung5_Rep1	Lung5	6	hs_program	OLFM4
Lung5_Rep1	Lung5	6	hs_program	OSMR
Lung5_Rep1	Lung5	6	hs_program	PDGFA
Lung5_Rep1	Lung5	6	hs_program	PIGR
Lung5_Rep1	Lung5	6	hs_program	PPARG
Lung5_Rep1	Lung5	6	hs_program	PSCA
Lung5_Rep1	Lung5	6	hs_program	PTGES
Lung5_Rep1	Lung5	6	hs_program	PTK6
Lung5_Rep1	Lung5	6	hs_program	RAC1
Lung5_Rep1	Lung5	6	hs_program	RNF43
Lung5_Rep1	Lung5	6	hs_program	S100A10
Lung5_Rep1	Lung5	6	hs_program	S100A6
Lung5_Rep1	Lung5	6	hs_program	S100P
Lung5_Rep1	Lung5	6	hs_program	SAT1
Lung5_Rep1	Lung5	6	hs_program	SERPINA3
Lung5_Rep1	Lung5	6	hs_program	SERPINB5
Lung5_Rep1	Lung5	6	hs_program	SFN
Lung5_Rep1	Lung5	6	hs_program	SLC2A1
Lung5_Rep1	Lung5	6	hs_program	SOX9
Lung5_Rep1	Lung5	6	hs_program	SPINK1
Lung5_Rep1	Lung5	6	hs_program	SRC
Lung5_Rep1	Lung5	6	hs_program	TACSTD2
Lung5_Rep1	Lung5	6	hs_program	TM4SF1
Lung5_Rep1	Lung5	6	hs_program	TNFRSF10B
Lung5_Rep1	Lung5	6	hs_program	TNFRSF11A
Lung5_Rep1	Lung5	6	hs_program	TNFRSF12A
Lung5_Rep1	Lung5	6	hs_program	TNFRSF21
Lung5_Rep1	Lung5	6	hs_program	TNFSF10
Lung5_Rep1	Lung5	6	hs_program	TOP2A
Lung5_Rep1	Lung5	6	hs_program	TPM1
Lung5_Rep1	Lung5	6	hs_program	TUBB4B
Lung5_Rep1	Lung5	6	hs_program	VEGFA
Lung5_Rep1	Lung5	6	hs_program	WNT11
Lung5_Rep1	Lung5	6	hs_program	YBX3
Lung5_Rep1	Lung5	7	hs_program	AATK
Lung5_Rep1	Lung5	7	hs_program	ACVR1B
Lung5_Rep1	Lung5	7	hs_program	ADGRA3
Lung5_Rep1	Lung5	7	hs_program	ADGRG1
Lung5_Rep1	Lung5	7	hs_program	ADGRG6
Lung5_Rep1	Lung5	7	hs_program	AGR2
Lung5_Rep1	Lung5	7	hs_program	AHR
Lung5_Rep1	Lung5	7	hs_program	ANXA1
Lung5_Rep1	Lung5	7	hs_program	ANXA2
Lung5_Rep1	Lung5	7	hs_program	ANXA4
Lung5_Rep1	Lung5	7	hs_program	APP
Lung5_Rep1	Lung5	7	hs_program	ARF1
Lung5_Rep1	Lung5	7	hs_program	AZGP1
Lung5_Rep1	Lung5	7	hs_program	B3GNT7
Lung5_Rep1	Lung5	7	hs_program	BAG3
Lung5_Rep1	Lung5	7	hs_program	BAX
Lung5_Rep1	Lung5	7	hs_program	BCL2L1
Lung5_Rep1	Lung5	7	hs_program	BECN1
Lung5_Rep1	Lung5	7	hs_program	BMP4
Lung5_Rep1	Lung5	7	hs_program	BMP7
Lung5_Rep1	Lung5	7	hs_program	C9orf16
Lung5_Rep1	Lung5	7	hs_program	CALM2
Lung5_Rep1	Lung5	7	hs_program	CALM3
Lung5_Rep1	Lung5	7	hs_program	CASP3
Lung5_Rep1	Lung5	7	hs_program	CASR
Lung5_Rep1	Lung5	7	hs_program	CCL15
Lung5_Rep1	Lung5	7	hs_program	CCL18
Lung5_Rep1	Lung5	7	hs_program	CCND1
Lung5_Rep1	Lung5	7	hs_program	CD164
Lung5_Rep1	Lung5	7	hs_program	CD24
Lung5_Rep1	Lung5	7	hs_program	CD276
Lung5_Rep1	Lung5	7	hs_program	CD44
Lung5_Rep1	Lung5	7	hs_program	CD58
Lung5_Rep1	Lung5	7	hs_program	CD59
Lung5_Rep1	Lung5	7	hs_program	CD63
Lung5_Rep1	Lung5	7	hs_program	CD81
Lung5_Rep1	Lung5	7	hs_program	CD9
Lung5_Rep1	Lung5	7	hs_program	CDH1
Lung5_Rep1	Lung5	7	hs_program	CDKN1A
Lung5_Rep1	Lung5	7	hs_program	CEACAM1
Lung5_Rep1	Lung5	7	hs_program	CEACAM6
Lung5_Rep1	Lung5	7	hs_program	CLDN4
Lung5_Rep1	Lung5	7	hs_program	COL17A1
Lung5_Rep1	Lung5	7	hs_program	COL27A1
Lung5_Rep1	Lung5	7	hs_program	CTNNB1
Lung5_Rep1	Lung5	7	hs_program	CX3CL1
Lung5_Rep1	Lung5	7	hs_program	CXCL1
Lung5_Rep1	Lung5	7	hs_program	CXCL16
Lung5_Rep1	Lung5	7	hs_program	CXCL17
Lung5_Rep1	Lung5	7	hs_program	CXCL2
Lung5_Rep1	Lung5	7	hs_program	CXCL3
Lung5_Rep1	Lung5	7	hs_program	CXCL5
Lung5_Rep1	Lung5	7	hs_program	CYSTM1
Lung5_Rep1	Lung5	7	hs_program	DDR1
Lung5_Rep1	Lung5	7	hs_program	DMBT1
Lung5_Rep1	Lung5	7	hs_program	DUSP4
Lung5_Rep1	Lung5	7	hs_program	DUSP6
Lung5_Rep1	Lung5	7	hs_program	EFNA1
Lung5_Rep1	Lung5	7	hs_program	EFNA5
Lung5_Rep1	Lung5	7	hs_program	EFNB1
Lung5_Rep1	Lung5	7	hs_program	EPCAM
Lung5_Rep1	Lung5	7	hs_program	EPHA2
Lung5_Rep1	Lung5	7	hs_program	EPHB3
Lung5_Rep1	Lung5	7	hs_program	EPHB4
Lung5_Rep1	Lung5	7	hs_program	ERBB2
Lung5_Rep1	Lung5	7	hs_program	ERBB3
Lung5_Rep1	Lung5	7	hs_program	ETV4
